Ngoko,Krama,Krama Inggil,Bahasa Indonesia
(di) kubur, dipeptak,disarekake,dikubur
Abang,Abrit,Abrit,Merah
Abot,Awrat,Awrat,Berat
Adang,Bethak,Bethak,Menanak Nasi
Adeg,Ngadeg,Jumeneng,Berdiri
Adhem,Asrep,Asrep,Dingin
Adhi,Adhi,Rayi,Adik
Adoh,Tebih,Tebih,Jauh
Adol,Sade,Sade,Jual
Adu,Aben,Aben,Mengadu
Adus,Adus,Siram,Mandi
Agama,Agami,Agami,Agama
Age-Age,Enggal-Enggal,Enggal-Enggal,Lekas
Aja,Ampun,Ampun,Jangan
Ajang,Ajang,Amben,Tempat
Aji,Aos,Aos,Nilai (harga)
Aksama,Aksami,Aksami,Ampuun
Aku,Kula,Dalem,Saya
Ala,Awon,Awon,Buruk
Alangan,Pambengan,Pambengan,Halangan
Alas,Wana,Wana,Hutan
Ali-Ali,Sesupe,Sesupe,Cincin
Alis,Alis,Imba,Alis
Amarga,Amargi,Amargi,Karena
Amba,Wiyar,Wiyar,Luas
Ambu,Ambet,Ambet,Bau
Ambung,Ambung,Aras,Cium
Amit,Amit,Nuwun Sewu, Permisi
Ampir,Ampir,Pinarak,Singgah
Ana,Wonten,Wonten,Ada
Anak,Yoga,Putra,Anak
Anak-Anak,Anak-Anak,Peputra,Anak-Anak
Angger,Uger,Uger,Asalkan
Angon,angen,angen,menggembala
ani-ani,pugut,pugut,ani-ani
antara,antawis,antawis,antara
anti,antos,antos,tunggu
anut,tumut,nderek,ikut
anyang,awis,awis,menawar
anyar,enggal,enggal,baru
apa,punapa,punapa,apa
apik,sae,sae,bagus
apura,apunten,apunten,maaf
aran,nama,asma,nama
arang,awis,awis,jarang
arep,ajeng,bade,akan
ari-ari,ari-ari,tuntunan,plasenta
arum,arum,arum,harum
asu,segawon,segawon,anjing
ati,manah,galih,hati
ati-ati,ngatos-atos,atos-atos,hati-hati
awak,badan,salira,badan
awan,siyang,siyang,siang
aweh,nyukani,maringi,memberi
ayo,mangga,sumangga,mari
bacut,lajeng,lajeng,lantas
bako,sata,sata,tembakau
baku,baken,baken,baku
balik,mantuk,kondur,pulang
balung,balung,tosan,tulang
banda,banda,besta,belenggu
banget,sanget,sanget,banget
bangkekan,bangkekan,pamekan,pinggang
banjir,bena,bena,banjir
banjur,lajeng,lajeng,kemudian
bantal,bantal,kanjang sirah,bantal
banyu,toya,toya,air
bapak,bapak,rama,bapak
bareng,sareng,sareng,bersama
barep,pambajeng,pambajeng,sulung
bata,banon,banon,batu bata
bathik,serat,serat,batik
bathuk,bathuk,palaparan,dahi
batin,batos,batos,batin
batur,rencang,abdi,teman
bayen,babaran,babaran,melahirkan
bebarengan,sesarengan,sesarengan,bersama-sama
bebed,bebed,nyamping,memakai kain
bebek,kembangan,kembangan,itik
becik,sae,sae,bagus
beda,benten,benten,berbeda
bekti,bektos,bektos,bakti
ben,kajengipun,kersanipun,biar
bener,leres,kasinggahan,benar
bengi,dalu,dalu,malam
beras,uwos,uwos,beras
bisa,saged,saged,bisa
biyen,riyin,rumiyin,dahulu
bocah,lare,lare,anak
bojo,semah,garwa,suami-istri
bokong,bokong,bocong,pantat
bolah,benang,benang,benang
boreh,boreh,konyoh,bedak
brengos,brebgos,gumbala,kumis
bubar,bibar,bibar,selesai
bubrah,bubrah,bibrah,rusak
budhal,budhal,bidhal,berangkat
udan,jawah,jawah,hujan
bungah,manah,penggalih,pikir
buri,wingking,pengkeran,belakang
buru,bujer,bujer,kejar
butuh,betah,betah,perlu
buwang,bechal,kendhang,membuang
buyar,rampung,rampung,bubar
cangkem,cangkem,tutuk,mulut
carita,cariyos,cariyos,cerita
caturan,wicanten,ngendika,pembicaraan
cawis,cawis,caos,sedia
cedhak,celak,cekat,dekat
cekel,cepeng,asta,pegang
celeng,andhapan,andhapan,babi hutan
cendhak,andhap,andhap,pendek
cengel,cengel,griwa,tengkuk
cepet,enggal,enggal,segera
cilik,alit,alit,kecil
clathu,wicanten,ngendika,berkata
coba,cobi,,cobi,coba
cucul,cucul,lukar,melepaskan
cukup,cekap,cekap,cukup
cukur,cukur,pangkas,pangkas
cundhuk,cundhuk,sangsangan,tusuk konde
dadah,dadah,ginda,pijat
dadi,dados,dados,menjadi
dagang,gramen,gramen,berdagang
dalan,radin,margi,jalan
dawa,panjang,panjang,panjang
deleng,ningali,mriksani,mengamati
desa,shusun,shusun,desa
dhada,dhada,jaja,dada
dhayoh,tamu,tamu,tamu
dhek,kala,kala,ketika
dhemen,remen,remen,suka
dhengkul,dhengkul,jengku,lutut
dhewe,piyambak,piyambak,sendiri
dhisik,riyen,rumiyin,dahulu
dhuwit,yatra,arta,uang
dhuwur,inggil,inggil,tinggi
dina,dinten,dinten,hari
dlamakan,dlamakan,samparan,telapak kaki
dluwang,dlacang,dlacang,kertas
dodol,sade,sade,jual
dolan,dolan,ameng-ameng,main
doyan,purun,kersa,mau
driji,driji,racikan,jari-jari
dudu,sanes,sanes,bukan
dulang,ndulang,ndahari,menyuapi
dulur,dherek,dherek,ikut
dumadi,dumados,dumados,menjadi
durung,dereng,dereng,belum
duwe,gadhah,kagungan,punya
edan,ewah,ewah,gila
eling,eling,emut,ingat
elmu,elmi,elmi,ilmu
melu,tumut,nderek,ikut
eluh,eluh,waspa,air mata
embah,embah,eyang,kakek / nenek
embok,ibu,ibu,ibu
embuh,kirangan,ngapunten,entah
enak,eca,eca,enak
endhas,mustaka,mustaka,kepala
endheg,kendel,kendel,henti
endhek,andhap,andhap,rendah
mendhem,mendhem,wuru,mabuk
endhok,tigan,tigan,telur
nganggo,ngangge,ngagem,pakai
enggon,enggen,pidalem,tempat
enom,enom,timur,muda
entek,telas,telas,habis
enteni,entosi,rantosi,tunggu
entik,angsal,pikantuk,mendapat
enya,mangga,sumangga,silahkan
enyang,awis,awis,tawar
aspek,pendhet,pundhut,ambil
esuk,enjiing,enjing,pagi
gajah,liman,liman,gajah
gaman,dedamel,dedamel,senjata
gamelan,gangsa,gangsa,gamelan
gampang,gampil,gampil,mudah
ganti,gantos,gantos,ganti
garing,aking,aking,kering
gawa,bekta,asta,bawa
gawan,bektan,ampilan,bawaan
gawe,damel,damel,membuat
gedhang,pisang,pisang,pisang
gedhe,ageng,ageng,besar
geger,geger,pengkeran,punggung
gelang,binggel,binggel,gelang
gelem,purun,kersa,mau
gelis,enggal,enggal,cepat
gelung,gelung,ukel,sanggul
genep,jangkep,jangkep,genap
geni,latu,grama,api
gentenan,gentosan,gentosan,bergantian
genti,gentos,gentos,ganti
gering,kera,susut,kurus
getih,rah,rah,darah
githok,githok,julukan,tengkuk
godhong,ron,ron,daun
golek,pados,pados,mencari
goroh,dara,dara,bohong
gugah,gugah,wungu,bangun
gula,gigat,gigat,menggugat
guna,gina,gina,manfaat
gunem,ginem,ngandika,bicara
guneman,gineman,ngandikan,berbicara
guyon,gugejengan,gugejengan,bercanda
guyu,gujeng,gujeng,tawa
idep,idep,ibing,bulu mata
idu,idu,kecoh,ludah
iga,iga,anusan,tulang iga
ijo,ijem,ijem,hijau
ijoan,ijeman,ijeman,undangan lisan
ijol,lintu,lintu,tukar
kae,punika,punika,itu
iket,iket,destar,ikat kepala
iki,punika,punika,ini
ilang,ical,ical,hilang
ilat,ilat,lidhah,lidah
ilo,ilo,paningalan,cermin
imbu,imbet,imbet,peram
imbuh,imbet,tanduk,tambah lagi
inep,nyinep,nyare,bermalam
ingon-ingon,ingah-ingah,ingah-ingah,ternak
ingu,ingu,ingah,piara
ireng,cemeng,cemeng,hitam
irung,irung,grana,hidung
isa,saged,saged,bisa
isih,taksih,taksih,masih
isin,isin,lingsem,malu
ngising,bebucal,bobotan,buang air besar
ngisor,ngandhap,ngandhap,di bawah
iwak,ulam,ulam,ikan
iya,inggih,uwun inggih,iya
jaba,jawi,jawi,luar
jaga,jagi,reksa,jaga
jago,sawung,sawung,ayam jago
jalu,jalu,panja,taji
jaluk,nedi,nyuwun,minta
jamu,jampi,loloh,jamu
janggut,janggut,kethekan,dagu
jaran,jaran,turangga,kuda
jare,cariyosipun,cariyosipun,katanya
jarit,sinjang,nyamping,kain
jarwa,jarwi,jarwi,arti
jenat,jenat,swargi,almarhum
jeneng,nama,asma,nama
jenggot,jenggot,gumbala,jenggot
jero,lebet,lebet,dalam
jeruk,jeram,jeram,jeruk
jisim,jisim,layon,jenazah
joged,joged,beksa,tari
jogedan,jogedan,beksan,tarian
jungkat,serat,pethat,sisir
jupuk,pendhet,pundhut,ambil
kabeh,sedaya,sedanten,semua
kacamata,kacamripat,kacatingal,kacamata
kacek,keot,kaot,selisih
kaget,kaget,kajot,kaget
kajaba,kejawi,kejawi,kecuali
kakang,kakang,raka,kakak (laki-laki)
kalah,kawan,kasoran,kalah
kali,lepen,lepen,sungai
kalung,kalung,sangsangan,kalung
kambil,klapa,klapa,kelapa
kanca,rencang,rencang,teman
kandha,sanjang,ngendika,bicara
kanggo,kangge,kagem,untuk
kapal,baito,baito,kapal
karep,kajeng,kersa,kehendak
karo,kalih,kaliyan,dengan
kathok,kathok,lacingan,celana
katon,ketingak,ketingal,kelihatan
katur,katur,konjuk,buat
kaya,kados,kados,seperti
kayu,kajeng,kajeng,kayu
kebo,maesa,maesa,kerbau
kelakon,kelampahan,kelampahan,terlaksana
kelalen,kesupen,kalimengan,terlupa
kelangan,kecalan,kecalan,kehilangan
kelud,kelud,samparan,sapu
kembang,sekar,sekar,bunga
kemben,kemben,kesemekan,stagen
kemenyan,sela,sela,dupa
kempol,kempol,wengkelan,paha
kemu,kemu,kembeng,kumur
kemul,kemul,singep,selimut
kena,kenging,kenging,boleh
kene,mriki,mriki,sini
kepenak,sekeca,dhangan,enak
kepriye,kados pundi,kados pundi,bagaimana
kepung,kepang,kepang,dikelilingi
kepungan,kepangan,kepangan,kenduri
kerep,asring,asring,sering
keri,kentun,kentun,ketinggalan
keris,dhuwung,wangkingan,keris
kesusu.kesesa,kesesa,tergesa-gesa
kesuwen,kedangon,kedangon,terlalu lama
ketara,ketingal,ketingal,kentara
ketemu,kepanggih,kepanggih,berjumpa
ketok,ketingal,ketingal,kelihatan
kijing,kijing,sekaran,batu nisan
kira,kinten,kinten,taksir
kira-kira,kinten-kinten,kinten-kinten,kira-kira
kirim,kentun,kentun,kirim
klambi,rasukan,ageman,baju
klasa,gelaran,gelaran,tikar
kleru,klintu,klintu,keliru
klumpuk,klempak,klempak,kumpul
kodanan,kejawahan,kejawahan,kehujanan
kongkon,kengken,utus,suruh
kono,mriku,mriku,situ
kowe,sampeyan,panjenengan,kamu
kramas,karmas,jamas,keramas
krasa,kraos,kraos,terasa
krasan,kraos,kraos,betah
kringet,kringet,riwe,keringat
krungu,miring,midhanget,denger
kuburan,kubura,pasareyan,kuburan
kudu,kedah,kedah,harus
kuku,kuku,kenaka,kuku
kuning,jene,jene,kuning
kuping,kuping,talingan,telinga
kurang,kirang,kirang,kurang
kuwat,kiyat,kiyat,kuat
kuwi,niku,punika,itu
labuh,labet,labet,membela
lagi,saweg,nembe,sedang
lair,lair,miyos,lahir
laki,semah,garwa,suami
kawin,laki,cumbana,bersetubuh
lakon,lampahan,lampahan,jalan cerita
lalen,kesupen,kesupen,lupa
lambe,lambe,lathi,bibir
lanang,jaler.kakung,laki-laki
lara,sakit,gerah,sakit
larang,awis,awis,mahal
lawang,konten,konten,pintu
lawas,lami,lami,lama
layang,serat,nawala,surat
lebu,lebet,lebet,dalam
lelara,sesakit,sesakit,penyakit
lelembut,lelembat,lelembat, roh halus
lelungan,kekesahan,peparan,berpegian
lemah,siti,siti,tanah
lemari,lemantun,lemantun,almari
lembut,lembat,lembat,lembut
lemu,lema,lema,gemuk
leren,kendel,kendel,istirahat
lima,gangsal,gangsal,lima
linuwih,linagkung,linangkung,luar biasa
liru,lintu,lintu,ganti
liwat,langkung,langkung,lewat
lor,ler,ler,utara
loro,kalih,kalih,dua
luh,luh,waspa,air mata
luku,lujeng,lujeng,bajak
lulang,cucal,cucal,kulit
lumrah,limrah,limrah,lazim
lunga,kesah,tindak,pergi
lungan,kesahan,tindakan,bepergian
lungguh,lenggah,pinarak,duduk
luput,lepat,lepat,salah
luwih,langkung,langkung,lebih
maca,maca,maos,membaca
macan,macan,simo,harimau
mangan,nedha,dhahar,makan
madhani,nyameni,nyameni,menghadap
majeki,maosi,maosi,membayar pajak
maju,maling,majeng,maju
maling,maliing,pandung,pencuri
mambu,mambet,ngganda,berbau
manah,njemoaring,njemparing,memanah
manak,nglairaken,mbabar,melahirkan
mandheg,kendel,kendel,berhenti
maneh,malih,malih,tambah lagi
mangan,nedha,dhahar,makan
manggon,manggen,manggen,tinggal
mangkat,bidhal,tindak,berangkat
manuk,peksi,peksi,burung
marang,dhateng,dhateng,ke
marani,murugi,murugi,mendatangi
mari,mantun,dhangan,sembuh
maro,malih,malih,mambagi dua
marung,mande,mande,membuka kedai
maa,mripat,paningal,mata
mateni,mejahi,nyedani,membunuh
mati,mejahi,seda,meniggal
mau,wau,wau,tadi
mawa,mawi,mawi,serta
mayit,mayit,layon,mayat
mbathik,nyerat,nyerat,membatik
mburu,mbujeng,mbujeng,berburu
madel,celep,celep,mewarnai kain
melek,melek,wungu,bangun
melu,tumut,ndherek,ikut
memedi,mimpang,mimpang,menang
menawa,menawi,menawi,jika
menehi,mangke,mangke,nanti
menjangan,sangsam,sangsam,rusa
menyang,dhateng,dhateng,menuju
merga,margi,margi,karena
meteng,ngandheng,mbobot,hamil
metu,medal,miyos,keluar
mikir,manah,nggalih,berpikir
mikul,ngrembat,ngrembat,memikul
milang,mical,mical,menghitung
minggat,minggat,lolos,pergi tanpa pamit
mira,minten,minten,berapa
miranti,mirantos,mirantos,mempercayakan
mlaku,mlampah,tindak,berjalan
mlebu,mlebet,mlebet,masuk
mluku,mlujeng,mlujeng,membajak
momot,ngewrat,ngewrat,memuat
mori,monten,monten,kain kafan
mot,kawrat,kawrat,muat
mudhun,mandhap,mandhap,turun
muga-muga,mugi-mugi,mugi-mugi,mudah-mudahan
mula,mila,mila,maka
mulang,mucal,mucal,mengajar
mulih,mantuk,kundur,pulang
mundhak,mindhak,mindhak,naik
mung,naming,namung,hanya
munggah,minggah,minggah,naik
mungguh,menggah,menggah,mengenai
mungkur,mengker,mengker,membelakangi
mungsuh,mengsah,mengsah,musuh
muni,mungel,mungel,bersuara
muni-muni,mugel-mugel,mugel,mugel,mencaci
murah,mirah,mirah,murah
muwuni,mewahi,mewahi,menambahkan
nandur,nanem,nanem,menanam
nangis,nangis,muwun,menangis
ndadah,ndadah,ngginda,memijat
ndandani,ndandosi,mbusanani,merias
ndeleng,ningali,mirsani,mengamati
negara,nagari,nagari,negara
nembang,nyekar,nyekar,menyanyi
nepsu,nepsu,duka,marah
nesoni,nyrengeni,ndukani,memarahi
ngabekti,ngabektos,ngabektos,berbakti
ngadeg,ngadeg,jumeneng,berdiri
ngadhep,sowan,marak,menghadap
ngajeni,ngaosi,ngaosi,menghargai
ngalah,ngawon,ngawon,mengalah
ngalor,ngaler,ngaler,ke utara
ngambung,ngambung,ngaras,mencium
nganggo,ngangge,ngagem,memakai
nganti,ngantos,ngantos,sampai
nganyang,ngawis,ngawis,menawar
ngapura,ngapunten,ngapunten,maaf
ngarani,mastani,mastani,menyebut
ngarep,ngajeng,ngarsa,depan
ngaso,kendel,kendel,beristirahat
ngelak,ngelak,salit,haus
ngeling-eling,ngemut-emut,ngemut-emut,mengingat-ingat
ngelu,ngelu,puyeng,pusing
ngeneake,ngawontenaken,ngawontenaken,mengadakan
ngeneni,mugut,mugut,menuai
ngenger,ngenger,ngabdi,mengabdi
nenggoni,nenggeni,nglenggahi,menempati
ngenteni,ngentosi,ngentosi,menunggu
ngerti,ngertos,ngertos,mengerti
nggampangaken,nggampilaken,nggampilaken,meremehkan
ngganti,nggantos,nggantos,mengganti
nggawa,mbekto,mbekto,membawa
nggenepi,njangkepi,njangkepi,melengkapi
nggoleki,madosi,madosi,mencari
nggunaake,ngginaaken,ngginaaken,menggunakan
ngilangi,ngicali,ngicali,menghilangkan
ngimpu,ngimpi,nyupena,bermimpi
nginang,ngganten,ngganten,makan sirih
nginep,nyipeng,nyare,bermalam
ngingu,ngingah,ngingah,memelihara
ngirim,ngintun,ngintun,mengirim
ngising,bebanyu,bobotan,buang air besar
ngisor,ngandhap,ngandhap,di bawah
nglakoni,nglampahi,nindakaken,menjalankan
ngoko,krama madya,krama inggil, berbahasa
ngombe,nginum,ngunjuk,minum
ngongkon,ngengken,ngutus,menyuruh
ngopahi,ngepahi,ngeopahi,memberi upah
ngrasani,ngraosi,ngraosi,membicarakan
ngrewangi,ngrencangi,ngrencangi,menemani
ngrungoake,mirangaken,mirengaken,mendengarkan
ngrusuhi,ngresahi,ngresahi,mengganggu
ngubur,methak,nyarekaken,mengubur
ngulemi,ngulemi,ngaturi,mengundang
ngundang,nimbali,ngaturi,memanggil
ngutang,nyambut,ngampil,meminjam
nguyuh,toyan,turas,kencing
njaba,njawi,njawi,di luar
njaluk,nedha,nyuwun,minta
njoged,njoged,mbeksa,menari
njupuk,mendhet,mundhut,mengambil
nom,nem,timur,muda
nuli,lajeng,lajeng,lalu
nunggang,numpak,nitih,mengendarai
nutu,nggentang,nggentang,menumbuk padi
nyalini,nggantosi,nggantosi,mengganti
nyambut gawe,nyambut damel,ngasta damel,bekerja
nyebit,nyebat,nyebat,menyebut
nyekel,nyepeng,ngasta,memegang
nyilih,nyambut,ngampil,meminjam
nyrengeni,nyrengeni,ndukani,memarahi
nyritani,nyriosi,nyriosi,bercerita
obat,jampi,usada,obat
akeh,kathah,kathah,banyak
olih,angsal,pikantuk,dapat
omah,griyo.griyo,rumah
ombe,ombe,unjuk,minum
amba,miyar,miyar,luas
ngomong,ginem,ginem,bicara
ompong,ompong,dhaut,ompong
ora,boten,boten,tidak
padha,sami,sami,sama
padhang,pajar,pajar,terang
pasudan,padusan,pasiraman,tempatt mandi
paidon,paidon,kecohan,tempat meludah
pajek,paos,paos,pajak
panah,jemparing,jemparing,panah
panas,benter,benter,panas
panasan,benteran,benteran,tempat panas
pangan,tedhan,dhaharan,makanan
panggon,panggen,panggen,tempat
pangilon,pangilon,paningalan,kaca 
papat,sekawan,sekawan,empat
papringan,padelingan,padelingan,kebun bambu
paran,purug,panggen,rantau
pari,pantun,sekawan,padi
poso,siyam,siyam,puasa
pasar,peken,peken,pasar
pasaran,pekenan,pekenan,hari pasaran
paseduluruan,pasedherekan,pasedherekan,persaudaraan
paturon,patileman,pasareyan,tempat tidur
payu,lajeng,lajeng,laku
payung,paying,songsong,payung
pedhang,pedhang,sabet,pedang
pekarangan,pekawisan,pekawisan,kebun
pendhopo,pendhapi,pendhapi,pendopo
pengajian,pengaosan,pengaosan,pengajian
petan,petan,ulik,cari kutu kepala
pikir,manah,penggalih,pikiran
pikulan,rembatan,rembatan,alat pikul
pilis,pilis,blonyoh,berbedak
ping,kaping,kaping,kali
pipi,pipi,pangarasan,pipi
pira,pinten,pinten,berapa
piranti,pirantos,pirantos,perkakas
pitaya,pitados,pitados,percaya
pitik,ayam,ayam,ayam
prakara,prakawis,prakawis,perkara
prau,kapal,baita,perahu
prayoga,prayogi,prayogi,layak
prihatin,prihatos,prihatos,prihatin
priyayi,priyantun,priyantun,bangsawan
pundhak,pundhak,pamidhangan,bahu
pupak,pupak,dhaut,gigi lepas
pupu,pupu,wentis,paha
pupur,pupur,tasik,bedak
puser,puser,tuntunan,pusar
putih,pethak,pethak,putih
putu,putu,wayah,cucu
rabi,emah-emah,karma,menikah
rada,radi,radi,agak
rai,rai,pasuryan,wajah
rambut,rambut,rikma,rambut
rono,mriko,mriko,ke sana
rasa,raos,roas,rasa
rata,radi,radin,rata
dalan,margi,margi,jalan
raup,raup,suryan,cuci muka
rebut,rebat,rebat,rebut
rega,regi,regi,harga
rekasa,rekaos,rekaos,sengsara
rembug,rembag,rembag,runding
rembulan,rembulan,candra,bulan
rene,mriki,mriki,kemari
rewang,rencang,abdi,pembantu
riyak,riyak,jagra,dahak
riyaya,riyadi,riyadi,hari raya
rokok,ses,ses,rokok
rubuh,rebah,rebah,rebah
rumangsa,rumaos,rumaos,merasa
rumat,rimat,rimat,pelihara
rupa,rupi,rupi,rupa
rusak,risak,risak,rusak
sabuk,paningset,paningset,sabuk
sadulur,sadherek,sadherek,saudara
salin,gantos,gantos,bergnti pakaian
sandhangan,pangangge,pangagem,pakaian
sapi,lembu,lembu,sapi
sapu,sapu,samparan,sapu
sapuh,sapih,pageng,dipisah
sega,sekul,sekul,nasi
segara,seganten,seganten,laut
selir,selir,ampil,selir
sendhok,sendhok,lantaran,sendok
sesuk,benjing,benjing,besok
sikil,suku,ampeyan,kaki
silih,sambut,ngampil,pinjam
slamet,wilujeng,sugeng,selamat
sunat,supit,supit,khitan
susu,susu,prembayun,payudara
suwara,swanten,swanten,suara
suwe,dangu,dangu,lama
takon,taken,nyuwun pirsa,tanya
tali,tangsul,tangsul,tali
tamba,jampi,usada,obat
tamu,dhayoh,dhayoh,tamu
tandang gawe,nyambut damel,ngasta damel,bekerja
tandha tangan,tandha tangan,tapak asto,tanda tangan
tandur,tanem,tanem,tanam
tangan,tangan,asto,tangan
tangi,tangi,wungu,bangun
tapihan,tapihan,nyampingan,memakai kain
teka,dugi,rawuh,datang
teken,teken,lantaran,tongkat
temu,panggiih,panggih,jumpa
kenal,tepang,tepang,kenal
terus,lajeng,lajeng,lalu
tiba,dhawah,dhawah,jatuh
tilik,tuwi,tuwi,berkunjung
tinggal,tilar,tilar,tinggal
tombak,waos,watangan,tombak
tonton,tingal,pirsa,lihat
tuku,tumbas,mundhut,membeli
tulis,serat,serat,tulis
tulisan,seratan,seratan,tulisan
tuma,tuma,itik,kutu rambut
tuna,tuni,tuni,rugi
tunggal,tunggil,tunggil,tunggal
tunggang,tumpak,titih,naik
tunggu,tenggo,tenggo,tunggang
turu,tilem,sare,tidur
turah,tirah,tirah,sisa
turun,turun,tedhak,keturunan
tutu,gentang,gentang,tumbuk padi
tuwa,sepuh,yuswa,tua
ucul,ucul,lukar,lepas
udheng,iket,dhestar,ikat kepala
udud,ses,ses,rokok
uga,ugi,ugi,juga
ujar,ujar,punagi,janji
ukiran,jejeran,jejeran,ukiran
ula,sawer,sawer,ular
atur-atur,ulem-ulem,ulem-ulem,undangan
umbel,umbel,gadhing,ingus
umpama,umpami,umpami,misalnya
umur,umur,yuswa,umur
undang,timbale,ngaturi,mengundang
uni,ungel,ungel,bunyi
untu,untu,waja,gigi
upakara,upakawis,upakawis,pelihara
urip,gesang,sugeng,hidup
utama,utami,utami,utama
utang,nyambut,ngampil,hutang
utawa,utawi,utawi,atau
uyah,sarem,sarem,garam
uyuh,toyan,turas,kencing
waca,waos,waos,baca
wacanan,waosan,waosan,bacaan
wewadi,wewadi,winadi,rahasia
wadon,estri,estri,perempuan
wae,kemawon,kemawon,hanya
wahin,wahin,sigra,bersin
wani,wanton,wanton,berani
waras,saras,waluyo,sehat
watu,sela,sela,batu
watuk,watuk,cekah,batuk
wayah,wanci,wanci,waktu
wayang,ringgit,ringgir,boneka
wedang,benteran,benteran,minuman
wedhus,menda,menda,kambing
wedi,ajrih,ajrih,takut
wengi,dalu,dalu,malam
weruh,sumerep,priksa,melihat
weteng,weteng,padharan,perut
wicara,wicanten,ngendiko,berkata
wis,sampun,sampun,sudah
wisuh,wisuh,wijik,cuci tangan
wong,tiyang,tiyang,orang
wuda,wuda,lukar,telanjang
wudel,wudel,tuntunan,pusar
wudun,wudun,untar,bisul
wulang,wulang,wucal,ajar
wutuh,wetah,wetah,utuh
yekti,yektos,yektos,keseluruhan
yen,menawi,menawi,jika
